question,human_response,House of Spencer_base_answer,House of Spencer_base_grade,House of Spencer_fine_tuned_answer,House of Spencer_fine_tuned_grade
"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",5,"¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",5
"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",5,"¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",5
"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",5,"¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",5
"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 😊 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Te gustaría saber algo más?",5,"¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",5
¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,¡Hola! 😊 Las sesiones de entrenamiento funcional cuestan: \n\n- 10 sesiones: $120.000 CLP\n- 20 sesiones: $220.000 CLP\n- 4 sesiones: $50.000 CLP\n- 8 sesiones: $95.000 CLP\n- 12 sesiones: $138.000 CLP\n\n¿Te gustaría más información? 🏋️\u200d♀️,5,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♀️ Los planes duran 2 meses. ¿Te gustaría más información?,5
¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,¡Hola! 😊 Las sesiones de entrenamiento funcional cuestan: \n\n- 10 sesiones: $120.000 CLP\n- 20 sesiones: $220.000 CLP\n- 4 sesiones: $50.000 CLP\n- 8 sesiones: $95.000 CLP\n- 12 sesiones: $138.000 CLP \n\nLos planes son de 1 o 2 meses. ¿Te gustaría más información? 🏋️\u200d♂️,5,¡Hola! 😊 Nuestras clases de entrenamiento funcional cuestan $120.000 CLP por 10 sesiones y $220.000 CLP por 20 sesiones. 🏋️\u200d♂️ Los planes duran 2 meses. ¿Te gustaría más información?,5
¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,¡Hola! 😊 Las sesiones tienen los siguientes precios: \n\n- 10 sesiones: $120.000 CLP (plan de 2 meses)\n- 20 sesiones: $220.000 CLP (plan de 2 meses)\n- 4 sesiones: $50.000 CLP (plan de 1 mes)\n- 8 sesiones: $95.000 CLP (plan de 1 mes)\n- 12 sesiones: $138.000 CLP (plan de 1 mes)\n\n¿Te gustaría más información? 🏋️\u200d♀️,5,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♀️ Los planes duran 2 meses. ¿Te gustaría más información?,5
¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,¡Hola! 💪 Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♀️ Los planes duran 2 meses. ¿Te gustaría más información?,5,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♂️ Los planes duran 2 meses. ¿Te gustaría más información?,5
¿Puedo cancelar una clase sin perderla?,"Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","¡Hola! 😊 Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?",5,¡Sí! 😊 Puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?,5
¿Puedo cancelar una clase sin perderla?,"Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","¡Hola! 😊 Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?",5,¡Sí! 📅 Puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?,5
