question,human_response,Ortodoncia de la Fuente_base_answer,Ortodoncia de la Fuente_base_grade,Ortodoncia de la Fuente_fine_tuned_answer,Ortodoncia de la Fuente_fine_tuned_grade
"Hola, necesito una limpieza dental. ¿Cuáles son sus horarios de atención?",Realizamos limpiezas dentales como parte de nuestros servicios de odontología general. Las evaluaciones son gratuitas y estamos disponibles de lunes a viernes de 09:00 a 13:00 y de 14:30 a 19:00. ¿Te gustaría agendar una evaluación?,¡Hola! Soy Antonia 👩🏻‍💻 Asistente virtual de Ortodoncia de la Fuente. Realizamos limpiezas dentales como parte de nuestros servicios de odontología general. Estamos disponibles de lunes a viernes de 09:00 a 13:00 y de 14:30 a 19:00. ¿Te gustaría agendar una evaluación?,4,Realizamos limpiezas dentales como parte de nuestros servicios de odontología general. Las evaluaciones son gratuitas y estamos disponibles de lunes a viernes de 09:00 a 13:00 y de 14:30 a 19:00. ¿Te gustaría agendar una evaluación?,4
"Hola, necesito una limpieza dental. ¿Cuáles son sus horarios de atención?",Realizamos limpiezas dentales como parte de nuestros servicios de odontología general. Las evaluaciones son gratuitas y estamos disponibles de lunes a viernes de 09:00 a 13:00 y de 14:30 a 19:00. ¿Te gustaría agendar una evaluación?,¡Hola! Soy Antonia 👩🏻‍💻 Asistente virtual de Ortodoncia de la Fuente. Realizamos limpiezas dentales como parte de nuestros servicios de odontología general. Las evaluaciones son gratuitas y estamos disponibles de lunes a viernes de 09:00 a 13:00 y de 14:30 a 19:00. ¿Te gustaría agendar una evaluación?,5,Realizamos limpiezas dentales como parte de nuestros servicios de odontología general. Las evaluaciones son gratuitas y estamos disponibles de lunes a viernes de 09:00 a 13:00 y de 14:30 a 19:00. ¿Te gustaría agendar una evaluación?,4
"Hola, necesito una limpieza dental. ¿Cuáles son sus horarios de atención?",Realizamos limpiezas dentales como parte de nuestros servicios de odontología general. Las evaluaciones son gratuitas y estamos disponibles de lunes a viernes de 09:00 a 13:00 y de 14:30 a 19:00. ¿Te gustaría agendar una evaluación?,¡Hola! Soy Antonia 👩🏻‍💻Asistente virtual de Ortodoncia de la Fuente. Realizamos limpiezas dentales como parte de nuestros servicios de odontología general. Las evaluaciones son gratuitas y estamos disponibles de lunes a viernes de 09:00 a 13:00 y de 14:30 a 19:00. ¿Te gustaría agendar una evaluación?,4,Realizamos limpiezas dentales como parte de nuestros servicios de odontología general. Las evaluaciones son gratuitas y estamos disponibles de lunes a viernes de 09:00 a 13:00 y de 14:30 a 19:00. ¿Te gustaría agendar una evaluación?,4
"Hola, necesito una limpieza dental. ¿Cuáles son sus horarios de atención?",Realizamos limpiezas dentales como parte de nuestros servicios de odontología general. Las evaluaciones son gratuitas y estamos disponibles de lunes a viernes de 09:00 a 13:00 y de 14:30 a 19:00. ¿Te gustaría agendar una evaluación?,¡Hola! Soy Antonia 👩🏻‍💻Asistente virtual de Ortodoncia de la Fuente. Realizamos limpiezas dentales como parte de nuestros servicios de odontología general. Las evaluaciones son gratuitas y estamos disponibles de lunes a viernes de 09:00 a 13:00 y de 14:30 a 19:00. ¿Te gustaría agendar una evaluación?,5,Realizamos limpiezas dentales como parte de nuestros servicios de odontología general. Las evaluaciones son gratuitas y estamos disponibles de lunes a viernes de 09:00 a 13:00 y de 14:30 a 19:00. ¿Te gustaría agendar una evaluación?,4
"Hola, ¿tienen tratamientos de ortodoncia?","Sí, ofrecemos tratamientos de ortodoncia, incluyendo brackets metálicos y alineadores. ¿Te gustaría agendar una evaluación?","¡Hola! Soy Antonia 👩🏻‍💻 Asistente virtual de Ortodoncia de la Fuente. Sí, ofrecemos tratamientos de ortodoncia, incluyendo brackets metálicos y alineadores. ¿Te gustaría agendar una evaluación?",5,"Sí, ofrecemos tratamientos de ortodoncia, incluyendo brackets metálicos y alineadores. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?",4
"Hola, ¿tienen tratamientos de ortodoncia?","Sí, ofrecemos tratamientos de ortodoncia, incluyendo brackets metálicos y alineadores. ¿Te gustaría agendar una evaluación?","¡Hola! Soy Antonia 👩🏻‍💻 Asistente virtual de Ortodoncia de la Fuente. Sí, ofrecemos tratamientos de ortodoncia, incluyendo brackets metálicos y alineadores. ¿Te gustaría agendar una evaluación?",5,"Sí, ofrecemos tratamientos de ortodoncia, incluyendo brackets metálicos y alineadores. ¿Te gustaría agendar una evaluación gratuita?",4
"Hola, ¿tienen tratamientos de ortodoncia?","Sí, ofrecemos tratamientos de ortodoncia, incluyendo brackets metálicos y alineadores. ¿Te gustaría agendar una evaluación?","¡Hola! Soy Antonia 👩🏻‍💻Asistente virtual de Ortodoncia de la Fuente. Sí, ofrecemos tratamientos de ortodoncia, incluyendo brackets metálicos y alineadores. ¿Te gustaría agendar una evaluación?",5,"Sí, ofrecemos tratamientos de ortodoncia, incluyendo brackets metálicos y alineadores. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?",4
"Hola, ¿tienen tratamientos de ortodoncia?","Sí, ofrecemos tratamientos de ortodoncia, incluyendo brackets metálicos y alineadores. ¿Te gustaría agendar una evaluación?","¡Hola! Soy Antonia 👩🏻‍💻 Asistente virtual de Ortodoncia de la Fuente. Sí, ofrecemos tratamientos de ortodoncia, incluyendo brackets metálicos y alineadores. ¿Te gustaría agendar una evaluación?",5,"Sí, ofrecemos tratamientos de ortodoncia, incluyendo brackets metálicos y alineadores. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?",4
"Hola, quiero saber más sobre los tratamientos de estética facial.",Ofrecemos tratamientos de estética facial como rinomodelación y aumento de labios. Las evaluaciones son gratuitas. ¿Te gustaría agendar una cita?,"¡Hola! Soy Antonia 👩🏻‍💻 Asistente virtual de Ortodoncia de la Fuente. Ofrecemos tratamientos de estética facial como rinomodelación, aumento de labios, y más. Las evaluaciones son gratuitas. ¿Te gustaría agendar una cita?",5,"Ofrecemos una variedad de tratamientos de estética facial, incluyendo rinomodelación, aumento de pómulos, aumento de labios y relleno de ojeras. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?",5
"Hola, quiero saber más sobre los tratamientos de estética facial.",Ofrecemos tratamientos de estética facial como rinomodelación y aumento de labios. Las evaluaciones son gratuitas. ¿Te gustaría agendar una cita?,"¡Hola! Soy Antonia 👩🏻‍💻 Asistente virtual de Ortodoncia de la Fuente. Ofrecemos tratamientos de estética facial como rinomodelación, aumento de labios, y aplicación de toxina botulínica, entre otros. Las evaluaciones son gratuitas. ¿Te gustaría agendar una cita?",5,"Realizamos diversos tratamientos de estética facial, como rinomodelación, aumento de labios y relleno de ojeras. Las evaluaciones son gratuitas. ¿Te gustaría agendar una evaluación?",5
